Ic (@Vce=1.2V) = {0.4654mA, 0.8008mA, 1.321mA, 2.148mA, 3.590mA
6.306mA, 11.11mA, 18.39mA, 27.58mA, 37.33mA, 44.82mA, 50.65mA
56.15mA, 61.37mA}

H21 vs. freq

Point prm/cv                     freq                 H21_dB.m
    0   0/ 0  1.0000000000000000E+009  2.1550383395816780E+001
    1   1/ 0  2.0000000000000000E+009  1.5264893641661990E+001
    2   2/ 0  3.0000000000000000E+009  1.1656857686276860E+001
    3   3/ 0  4.0000000000000000E+009  9.1279261378019889E+000
    4   4/ 0  5.0000000000000000E+009  7.1422256029967119E+000
    5   5/ 0  6.0000000000000000E+009  5.5896453057564326E+000
    6   6/ 0  7.0000000000000000E+009  4.4104722291608542E+000
    7   7/ 0  8.0000000000000000E+009  3.3012674553120620E+000
    8   8/ 0  9.0000000000000000E+009  2.4527903462005280E+000
    9   9/ 0  1.0000000000000000E+010  1.5334366351626649E+000
   10  10/ 0  1.1000000000000000E+010  8.5350018313631781E-001
   11  11/ 0  1.2000000000000000E+010  2.2736440711179079E-001
   12  12/ 0  1.3000000000000000E+010 -2.8480526438629739E-001
   13  13/ 0  1.4000000000000000E+010 -8.2704914015059139E-001
   14  14/ 0  1.5000000000000000E+010 -1.2694013367973229E+000
   15  15/ 0  1.6000000000000000E+010 -1.9412802890613490E+000
   16  16/ 0  1.7000000000000000E+010 -1.9975618057341871E+000
   17  17/ 0  1.8000000000000000E+010 -2.4210563383933681E+000
   18  18/ 0  1.9000000000000000E+010 -2.6021147826636768E+000
   19  19/ 0  2.0000000000000000E+010 -3.0033499966695909E+000
   20  20/ 0  2.1000000000000000E+010 -3.1407178671364022E+000
   21  21/ 0  2.2000000000000000E+010 -3.3651650511255879E+000
   22  22/ 0  2.3000000000000000E+010 -3.6397000735126088E+000
   23  23/ 0  2.4000000000000000E+010 -3.7658427920203490E+000
   24  24/ 0  2.5000000000000000E+010 -3.8935950722496111E+000
   25  25/ 0  2.6000000000000000E+010 -4.1539711154384023E+000
   26  26/ 0  2.7000000000000000E+010 -4.2864177132196897E+000
   27  27/ 0  2.8000000000000000E+010 -4.4007884219141857E+000
   28  28/ 0  2.9000000000000000E+010 -4.4786365603734763E+000
   29  29/ 0  3.0000000000000000E+010 -4.5965315749156694E+000
   30  30/ 0  3.1000000000000000E+010 -4.8550680376989819E+000
   31  31/ 0  3.2000000000000000E+010 -4.6961661442669911E+000
   32  32/ 0  3.3000000000000000E+010 -4.8606855117944026E+000
   33  33/ 0  3.4000000000000000E+010 -4.8901261448014077E+000
   34  34/ 0  3.5000000000000000E+010 -5.0519730562785190E+000
   35  35/ 0  3.6000000000000000E+010 -5.3254299252475672E+000
   36  36/ 0  3.7000000000000000E+010 -5.5708684749405837E+000
   37  37/ 0  3.8000000000000000E+010 -5.5788406747760266E+000
   38  38/ 0  3.9000000000000000E+010 -5.6565700911441574E+000
   39  39/ 0  4.0000000000000000E+010 -5.2166742009151799E+000
   40  40/ 0  4.1000000000000000E+010 -5.4806692202078491E+000
   41  41/ 0  4.2000000000000000E+010 -5.3169407839971994E+000
   42  42/ 0  4.3000000000000000E+010 -5.4177547538112156E+000
   43  43/ 0  4.4000000000000000E+010 -6.0416323663932934E+000
   44  44/ 0  4.5000000000000000E+010 -5.9054360228918634E+000
   45  45/ 0  4.6000000000000000E+010 -7.2174424807185336E+000
   46  46/ 0  4.7000000000000000E+010 -1.0921839646607950E+001
   47  47/ 0  4.8000000000000000E+010 -1.1193818423142391E+001
   48  48/ 0  4.9000000000000000E+010 -9.7938498657993698E+000
   49  49/ 0  5.0000000000000000E+010 -6.8843400215453974E+000
   50  50/ 0  5.1000000000000000E+010 -6.4119577520491768E+000
   51  51/ 0  5.2000000000000000E+010 -8.0512653654893143E+000
   52  52/ 0  5.3000000000000000E+010 -5.1456458644592367E+000
   53  53/ 0  5.4000000000000000E+010 -6.5191309956227776E+000
   54  54/ 0  5.5000000000000000E+010 -6.1099174807468728E+000
   55  55/ 0  5.6000000000000000E+010 -8.3571619628655931E+000
   56  56/ 0  5.7000000000000000E+010 -6.0432335851029526E+000
   57  57/ 0  5.8000000000000000E+010 -5.7507133084355520E+000
   58  58/ 0  5.9000000000000000E+010 -7.1110342197558829E+000
   59  59/ 0  6.0000000000000000E+010 -8.8197779391103452E+000
   60  60/ 0  6.1000000000000000E+010 -5.3781805542275336E+000
   61  61/ 0  6.2000000000000000E+010 -5.8717405957726934E+000
   62  62/ 0  6.3000000000000000E+010 -5.2882003532499544E+000
   63  63/ 0  6.4000000000000000E+010 -5.4341891775830709E+000
   64  64/ 0  6.5000000000000000E+010 -5.8562969355797954E+000
   65  65/ 0  6.6000000000000000E+010 -6.0018794168479692E+000
   66  66/ 0  6.7000000000000000E+010 -5.9531308612664731E+000
   67  67/ 0  6.8000000000000000E+010 -6.0416708631451224E+000
   68  68/ 0  6.9000000000000000E+010 -6.1444573590516329E+000
   69  69/ 0  7.0000000000000000E+010 -5.7263482585363601E+000
   70  70/ 0  7.1000000000000000E+010 -6.0032111036197433E+000
   71  71/ 0  7.2000000000000000E+010 -6.0322653881847348E+000
   72  72/ 0  7.3000000000000000E+010 -6.0658099117252897E+000
   73  73/ 0  7.4000000000000000E+010 -6.1640749312340324E+000
   74  74/ 0  7.5000000000000000E+010 -6.0986825244291190E+000
   75  75/ 0  7.6000000000000000E+010 -6.0884182977104047E+000
   76  76/ 0  7.7000000000000000E+010 -5.9460626815744959E+000
   77  77/ 0  7.8000000000000000E+010 -6.0560427063455879E+000
   78  78/ 0  7.9000000000000000E+010 -6.0753535500008731E+000
   79  79/ 0  8.0000000000000000E+010 -6.5907848287256652E+000
   80  80/ 0  8.1000000000000000E+010 -7.2798585648370331E+000
   81  81/ 0  8.2000000000000000E+010 -5.7591201001159984E+000
   82  82/ 0  8.3000000000000000E+010 -6.2120182765302694E+000
   83  83/ 0  8.4000000000000000E+010 -6.4483425684889317E+000
   84  84/ 0  8.5000000000000000E+010 -6.0748755637913190E+000
   85  85/ 0  8.6000000000000000E+010 -6.0733602275136134E+000
   86  86/ 0  8.7000000000000000E+010 -6.0120947436708230E+000
   87  87/ 0  8.8000000000000000E+010 -6.1377825014808582E+000
   88  88/ 0  8.9000000000000000E+010 -6.1285368034124268E+000
   89  89/ 0  9.0000000000000000E+010 -5.7930859770831074E+000
   90  90/ 0  9.1000000000000000E+010 -6.0505100526796420E+000
   91  91/ 0  9.2000000000000000E+010 -5.8925380850574172E+000
   92  92/ 0  9.3000000000000000E+010 -6.5432115804867284E+000
   93  93/ 0  9.4000000000000000E+010 -6.6536379754684516E+000
   94   0/ 1  1.0000000000000000E+009  2.8367839867653920E+001
   95   1/ 1  2.0000000000000000E+009  2.1982111385117221E+001
   96   2/ 1  3.0000000000000000E+009  1.8369400438844469E+001
   97   3/ 1  4.0000000000000000E+009  1.5782417740739151E+001
   98   4/ 1  5.0000000000000000E+009  1.3738132365300620E+001
   99   5/ 1  6.0000000000000000E+009  1.2151224472085371E+001
  100   6/ 1  7.0000000000000000E+009  1.0878380355708140E+001
  101   7/ 1  8.0000000000000000E+009  9.6782302485426435E+000
  102   8/ 1  9.0000000000000000E+009  8.7904551998845211E+000
  103   9/ 1  1.0000000000000000E+010  7.7291825423820697E+000
  104  10/ 1  1.1000000000000000E+010  6.9443671541437224E+000
  105  11/ 1  1.2000000000000000E+010  6.2276034455954203E+000
  106  12/ 1  1.3000000000000000E+010  5.6001253732922418E+000
  107  13/ 1  1.4000000000000000E+010  4.9297251242324318E+000
  108  14/ 1  1.5000000000000000E+010  4.3683178333728838E+000
  109  15/ 1  1.6000000000000000E+010  3.5595957329700290E+000
  110  16/ 1  1.7000000000000000E+010  3.4189084578620328E+000
  111  17/ 1  1.8000000000000000E+010  2.8341994432761259E+000
  112  18/ 1  1.9000000000000000E+010  2.5732237220170142E+000
  113  19/ 1  2.0000000000000000E+010  2.0089294302471088E+000
  114  20/ 1  2.1000000000000000E+010  1.7878871763086930E+000
  115  21/ 1  2.2000000000000000E+010  1.4397295919593329E+000
  116  22/ 1  2.3000000000000000E+010  1.0114085407946820E+000
  117  23/ 1  2.4000000000000000E+010  8.5406013463480779E-001
  118  24/ 1  2.5000000000000000E+010  5.6867783302144037E-001
  119  25/ 1  2.6000000000000000E+010  1.5902265569850571E-001
  120  26/ 1  2.7000000000000000E+010 -6.4875618296265938E-002
  121  27/ 1  2.8000000000000000E+010 -2.5406352209290861E-001
  122  28/ 1  2.9000000000000000E+010 -4.8995482051143580E-001
  123  29/ 1  3.0000000000000000E+010 -7.2745254210791277E-001
  124  30/ 1  3.1000000000000000E+010 -1.0391896515302701E+000
  125  31/ 1  3.2000000000000000E+010 -9.0723691312888377E-001
  126  32/ 1  3.3000000000000000E+010 -1.1759925162412419E+000
  127  33/ 1  3.4000000000000000E+010 -1.5095574158701339E+000
  128  34/ 1  3.5000000000000000E+010 -1.5700839996908600E+000
  129  35/ 1  3.6000000000000000E+010 -2.0573866524558801E+000
  130  36/ 1  3.7000000000000000E+010 -2.1989230010082390E+000
  131  37/ 1  3.8000000000000000E+010 -2.2159757428337321E+000
  132  38/ 1  3.9000000000000000E+010 -2.5280374621856758E+000
  133  39/ 1  4.0000000000000000E+010 -1.9712000948639130E+000
  134  40/ 1  4.1000000000000000E+010 -2.4752236593554451E+000
  135  41/ 1  4.2000000000000000E+010 -2.4426469842876140E+000
  136  42/ 1  4.3000000000000000E+010 -2.8881214183064912E+000
  137  43/ 1  4.4000000000000000E+010 -3.2830849715686492E+000
  138  44/ 1  4.5000000000000000E+010 -3.1336678894678949E+000
  139  45/ 1  4.6000000000000000E+010 -4.1293779297765978E+000
  140  46/ 1  4.7000000000000000E+010 -6.2401170826099959E+000
  141  47/ 1  4.8000000000000000E+010 -6.9821992810264630E+000
  142  48/ 1  4.9000000000000000E+010 -6.7100513350878384E+000
  143  49/ 1  5.0000000000000000E+010 -6.1236104400387994E+000
  144  50/ 1  5.1000000000000000E+010 -6.5368715464864700E+000
  145  51/ 1  5.2000000000000000E+010 -4.4141184900741006E+000
  146  52/ 1  5.3000000000000000E+010 -2.5418468428531740E+000
  147  53/ 1  5.4000000000000000E+010 -3.7413685997192960E+000
  148  54/ 1  5.5000000000000000E+010 -4.7441115729962329E+000
  149  55/ 1  5.6000000000000000E+010 -5.4228089580679217E+000
  150  56/ 1  5.7000000000000000E+010 -4.6496923745901944E+000
  151  57/ 1  5.8000000000000000E+010 -3.2481455458304591E+000
  152  58/ 1  5.9000000000000000E+010 -4.4423830619456464E+000
  153  59/ 1  6.0000000000000000E+010 -5.9731427119692180E+000
  154  60/ 1  6.1000000000000000E+010 -2.9215673905106598E+000
  155  61/ 1  6.2000000000000000E+010 -3.4611357909103209E+000
  156  62/ 1  6.3000000000000000E+010 -2.8776354238717250E+000
  157  63/ 1  6.4000000000000000E+010 -3.1300762777140250E+000
  158  64/ 1  6.5000000000000000E+010 -3.6000690126613590E+000
  159  65/ 1  6.6000000000000000E+010 -3.7124768365714020E+000
  160  66/ 1  6.7000000000000000E+010 -3.7157807145798900E+000
  161  67/ 1  6.8000000000000000E+010 -3.8314362385236271E+000
  162  68/ 1  6.9000000000000000E+010 -3.8901722672633499E+000
  163  69/ 1  7.0000000000000000E+010 -3.4917495687279581E+000
  164  70/ 1  7.1000000000000000E+010 -3.8732473489371522E+000
  165  71/ 1  7.2000000000000000E+010 -3.8694050563354359E+000
  166  72/ 1  7.3000000000000000E+010 -3.9291285335948749E+000
  167  73/ 1  7.4000000000000000E+010 -4.0260045283165482E+000
  168  74/ 1  7.5000000000000000E+010 -4.0989191545867634E+000
  169  75/ 1  7.6000000000000000E+010 -4.1364736150999857E+000
  170  76/ 1  7.7000000000000000E+010 -4.0250970141314033E+000
  171  77/ 1  7.8000000000000000E+010 -4.1753005999714530E+000
  172  78/ 1  7.9000000000000000E+010 -4.2655954949801451E+000
  173  79/ 1  8.0000000000000000E+010 -4.7718724176730873E+000
  174  80/ 1  8.1000000000000000E+010 -5.4251930903426944E+000
  175  81/ 1  8.2000000000000000E+010 -3.9506143487613659E+000
  176  82/ 1  8.3000000000000000E+010 -4.3429509498360730E+000
  177  83/ 1  8.4000000000000000E+010 -4.6751546423584474E+000
  178  84/ 1  8.5000000000000000E+010 -4.3028667886282967E+000
  179  85/ 1  8.6000000000000000E+010 -4.4042720656785734E+000
  180  86/ 1  8.7000000000000000E+010 -4.3325412309160054E+000
  181  87/ 1  8.8000000000000000E+010 -4.4785456718892114E+000
  182  88/ 1  8.9000000000000000E+010 -4.4817584923943619E+000
  183  89/ 1  9.0000000000000000E+010 -4.2121505406918178E+000
  184  90/ 1  9.1000000000000000E+010 -4.5568411832978972E+000
  185  91/ 1  9.2000000000000000E+010 -4.4176581362769802E+000
  186  92/ 1  9.3000000000000000E+010 -4.9695351228257296E+000
  187  93/ 1  9.4000000000000000E+010 -5.0423015337847570E+000
  188   0/ 2  1.0000000000000000E+009  3.4317174820547727E+001
  189   1/ 2  2.0000000000000000E+009  2.8095766358960098E+001
  190   2/ 2  3.0000000000000000E+009  2.4474905558426482E+001
  191   3/ 2  4.0000000000000000E+009  2.1874681192571451E+001
  192   4/ 2  5.0000000000000000E+009  1.9818842235913820E+001
  193   5/ 2  6.0000000000000000E+009  1.8225696391689759E+001
  194   6/ 2  7.0000000000000000E+009  1.6916679014816658E+001
  195   7/ 2  8.0000000000000000E+009  1.5705781027633069E+001
  196   8/ 2  9.0000000000000000E+009  1.4817811638926321E+001
  197   9/ 2  1.0000000000000000E+010  1.3722800973928400E+001
  198  10/ 2  1.1000000000000000E+010  1.2914532154512971E+001
  199  11/ 2  1.2000000000000000E+010  1.2201704576120189E+001
  200  12/ 2  1.3000000000000000E+010  1.1509229984356610E+001
  201  13/ 2  1.4000000000000000E+010  1.0824879465633691E+001
  202  14/ 2  1.5000000000000000E+010  1.0235942428548009E+001
  203  15/ 2  1.6000000000000000E+010  9.4260270197122349E+000
  204  16/ 2  1.7000000000000000E+010  9.1882334470909139E+000
  205  17/ 2  1.8000000000000000E+010  8.5863450745824270E+000
  206  18/ 2  1.9000000000000000E+010  8.2912973473084790E+000
  207  19/ 2  2.0000000000000000E+010  7.6707467904447677E+000
  208  20/ 2  2.1000000000000000E+010  7.4272796045617753E+000
  209  21/ 2  2.2000000000000000E+010  7.0221047865615516E+000
  210  22/ 2  2.3000000000000000E+010  6.5630521444866314E+000
  211  23/ 2  2.4000000000000000E+010  6.4008882785025119E+000
  212  24/ 2  2.5000000000000000E+010  6.0105331389932832E+000
  213  25/ 2  2.6000000000000000E+010  5.5674600888312620E+000
  214  26/ 2  2.7000000000000000E+010  5.3388521329148837E+000
  215  27/ 2  2.8000000000000000E+010  5.0192606349219702E+000
  216  28/ 2  2.9000000000000000E+010  4.7543324592448482E+000
  217  29/ 2  3.0000000000000000E+010  4.4909713727381790E+000
  218  30/ 2  3.1000000000000000E+010  4.1510548746167304E+000
  219  31/ 2  3.2000000000000000E+010  4.1799795734348013E+000
  220  32/ 2  3.3000000000000000E+010  3.8826720659322018E+000
  221  33/ 2  3.4000000000000000E+010  3.4269547349818898E+000
  222  34/ 2  3.5000000000000000E+010  3.4759947779982001E+000
  223  35/ 2  3.6000000000000000E+010  2.9172155950549850E+000
  224  36/ 2  3.7000000000000000E+010  2.7054350681241979E+000
  225  37/ 2  3.8000000000000000E+010  2.5112495733665430E+000
  226  38/ 2  3.9000000000000000E+010  2.3053550626027959E+000
  227  39/ 2  4.0000000000000000E+010  2.7113511602235461E+000
  228  40/ 2  4.1000000000000000E+010  2.1308731219727850E+000
  229  41/ 2  4.2000000000000000E+010  1.8766288237820801E+000
  230  42/ 2  4.3000000000000000E+010  1.4820862208746739E+000
  231  43/ 2  4.4000000000000000E+010  1.4339060529915491E+000
  232  44/ 2  4.5000000000000000E+010  1.4196870019711290E+000
  233  45/ 2  4.6000000000000000E+010  1.0598137296871399E+000
  234  46/ 2  4.7000000000000000E+010  7.6718329097172955E-001
  235  47/ 2  4.8000000000000000E+010 -4.3346022246262322E-001
  236  48/ 2  4.9000000000000000E+010 -2.2547772883943051E+000
  237  49/ 2  5.0000000000000000E+010 -2.1581886196940130E+000
  238  50/ 2  5.1000000000000000E+010 -3.2768613809371132E+000
  239  51/ 2  5.2000000000000000E+010 -7.4551703696137461E-001
  240  52/ 2  5.3000000000000000E+010  4.1449288020104419E-001
  241  53/ 2  5.4000000000000000E+010 -1.6311000053295430E-001
  242  54/ 2  5.5000000000000000E+010 -1.6156807046739010E+000
  243  55/ 2  5.6000000000000000E+010 -1.9737812277396180E-001
  244  56/ 2  5.7000000000000000E+010 -6.9840644006559260E-001
  245  57/ 2  5.8000000000000000E+010 -3.0342681547688460E-001
  246  58/ 2  5.9000000000000000E+010  1.3253013645574019E-001
  247  59/ 2  6.0000000000000000E+010 -9.1470433572253140E-001
  248  60/ 2  6.1000000000000000E+010  8.4302510183898660E-001
  249  61/ 2  6.2000000000000000E+010  2.9909923482950201E-001
  250  62/ 2  6.3000000000000000E+010  8.1089704832390552E-001
  251  63/ 2  6.4000000000000000E+010  6.3216641693832454E-001
  252  64/ 2  6.5000000000000000E+010  1.2954456230392711E-001
  253  65/ 2  6.6000000000000000E+010 -5.2343892931879209E-002
  254  66/ 2  6.7000000000000000E+010 -8.6491984321460644E-002
  255  67/ 2  6.8000000000000000E+010 -2.4993341029721189E-001
  256  68/ 2  6.9000000000000000E+010 -3.3646179706469481E-001
  257  69/ 2  7.0000000000000000E+010 -7.7585784915145686E-002
  258  70/ 2  7.1000000000000000E+010 -4.7399005921192983E-001
  259  71/ 2  7.2000000000000000E+010 -4.7571938222594262E-001
  260  72/ 2  7.3000000000000000E+010 -6.0355832577614543E-001
  261  73/ 2  7.4000000000000000E+010 -7.4531447738716272E-001
  262  74/ 2  7.5000000000000000E+010 -7.7902943314538065E-001
  263  75/ 2  7.6000000000000000E+010 -8.4072098493050329E-001
  264  76/ 2  7.7000000000000000E+010 -7.6220244715059593E-001
  265  77/ 2  7.8000000000000000E+010 -9.4272188127536038E-001
