Ic (@Vce=2V) = {0.1092mA, 0.2263mA, 0.4563mA, 
0.8844mA, 1.613mA, 2.723mA, 4.235mA, 6.086mA, 
8.004mA, 9.785mA, 11.56mA, 13.35mA, 15.18mA}

H21 vs. freq
Point prm/cv          freq1       H21_dB.m
    0   0/ 0  1.000000E+009  1.684301E+001
    1   1/ 0  2.000000E+009  1.066726E+001
    2   2/ 0  3.000000E+009  6.902788E+000
    3   3/ 0  4.000000E+009  4.990924E+000
    4   4/ 0  5.000000E+009  3.704855E+000
    5   5/ 0  6.000000E+009  2.168920E+000
    6   6/ 0  7.000000E+009  1.869262E+000
    7   7/ 0  8.000000E+009  2.139873E-001
    8   8/ 0  9.000000E+009 -3.535868E-001
    9   9/ 0  1.000000E+010 -1.372405E+000
   10  10/ 0  1.100000E+010 -2.026185E+000
   11  11/ 0  1.200000E+010 -2.925314E+000
   12  12/ 0  1.300000E+010 -3.978123E+000
   13  13/ 0  1.400000E+010 -4.459081E+000
   14  14/ 0  1.500000E+010 -4.923648E+000
   15  15/ 0  1.600000E+010 -5.503423E+000
   16  16/ 0  1.700000E+010 -6.070191E+000
   17  17/ 0  1.800000E+010 -6.573261E+000
   18  18/ 0  1.900000E+010 -6.644496E+000
   19  19/ 0  2.000000E+010 -6.813724E+000
   20  20/ 0  2.100000E+010 -7.242676E+000
   21  21/ 0  2.200000E+010 -7.381782E+000
   22  22/ 0  2.300000E+010 -7.549591E+000
   23  23/ 0  2.400000E+010 -7.617192E+000
   24  24/ 0  2.500000E+010 -7.770154E+000
   25  25/ 0  2.600000E+010 -7.970233E+000
   26  26/ 0  2.700000E+010 -7.876672E+000
   27  27/ 0  2.800000E+010 -8.259229E+000
   28  28/ 0  2.900000E+010 -8.421976E+000
   29  29/ 0  3.000000E+010 -8.705380E+000
   30  30/ 0  3.100000E+010 -9.012457E+000
   31  31/ 0  3.200000E+010 -9.213655E+000
   32  32/ 0  3.300000E+010 -9.640482E+000
   33  33/ 0  3.400000E+010 -9.859914E+000
   34  34/ 0  3.500000E+010 -9.968771E+000
   35  35/ 0  3.600000E+010 -1.015031E+001
   36  36/ 0  3.700000E+010 -1.029077E+001
   37  37/ 0  3.800000E+010 -1.034927E+001
   38  38/ 0  3.900000E+010 -1.046820E+001
   39  39/ 0  4.000000E+010 -1.054778E+001
   40  40/ 0  4.100000E+010 -1.064633E+001
   41  41/ 0  4.200000E+010 -1.076586E+001
   42  42/ 0  4.300000E+010 -1.078628E+001
   43  43/ 0  4.400000E+010 -1.093035E+001
   44  44/ 0  4.500000E+010 -1.102331E+001
   45  45/ 0  4.600000E+010 -1.103592E+001
   46  46/ 0  4.700000E+010 -1.108973E+001
   47  47/ 0  4.800000E+010 -1.118574E+001
   48  48/ 0  4.900000E+010 -1.126202E+001
   49  49/ 0  5.000000E+010 -1.117785E+001
