Ic (@Vce=1.5V) = {0.170mA, 0.3653mA, 0.7346mA, 1.391mA, 2.528mA, 
4.373mA, 7.044mA, 10.49mA, 14.56mA, 19.11mA, 23.72mA, 27.26mA,
30.26mA, 33.18mA}

H21 vs. freq
Point prm/cv                      freq                  H21_dB.m
    0   0/ 0  1.00000000000000000E+009  1.95470035373830770E+001
    1   1/ 0  2.00000000000000000E+009  1.31458500256575480E+001
    2   2/ 0  3.00000000000000000E+009  9.61130905432897360E+000
    3   3/ 0  4.00000000000000000E+009  7.09852746539758070E+000
    4   4/ 0  5.00000000000000000E+009  5.12695363861922710E+000
    5   5/ 0  6.00000000000000000E+009  3.62444648978692200E+000
    6   6/ 0  7.00000000000000000E+009  2.49098813751607610E+000
    7   7/ 0  8.00000000000000000E+009  1.41415541548097860E+000
    8   8/ 0  9.00000000000000000E+009  6.04659357650004560E-001
    9   9/ 0  1.00000000000000000E+010 -2.62359042837969960E-001
   10  10/ 0  1.10000000000000000E+010 -8.81640469646425730E-001
   11  11/ 0  1.20000000000000000E+010 -1.44551766146698670E+000
   12  12/ 0  1.30000000000000000E+010 -1.93707522382913710E+000
   13  13/ 0  1.40000000000000000E+010 -2.40706991134266040E+000
   14  14/ 0  1.50000000000000000E+010 -2.80781881865699030E+000
   15  15/ 0  1.60000000000000000E+010 -3.38944127657922230E+000
   16  16/ 0  1.70000000000000000E+010 -3.41718458067141380E+000
   17  17/ 0  1.80000000000000000E+010 -3.78891611200362900E+000
   18  18/ 0  1.90000000000000000E+010 -3.95207058113689550E+000
   19  19/ 0  2.00000000000000000E+010 -4.27870640396089370E+000
   20  20/ 0  2.10000000000000000E+010 -4.42017644760954380E+000
   21  21/ 0  2.20000000000000000E+010 -4.56458223197643420E+000
   22  22/ 0  2.30000000000000000E+010 -4.82247512326392250E+000
   23  23/ 0  2.40000000000000000E+010 -4.92457234950216360E+000
   24  24/ 0  2.50000000000000000E+010 -4.99874831532374490E+000
   25  25/ 0  2.60000000000000000E+010 -5.16329125179165160E+000
   26  26/ 0  2.70000000000000000E+010 -5.32662644997212810E+000
   27  27/ 0  2.80000000000000000E+010 -5.48590826795875140E+000
   28  28/ 0  2.90000000000000000E+010 -5.41777292407145160E+000
   29  29/ 0  3.00000000000000000E+010 -5.60012217445740750E+000
   30  30/ 0  3.10000000000000000E+010 -5.83397809676307230E+000
   31  31/ 0  3.20000000000000000E+010 -5.61780391717832210E+000
   32  32/ 0  3.30000000000000000E+010 -5.77409592350572080E+000
   33  33/ 0  3.40000000000000000E+010 -5.73293206306827410E+000
   34  34/ 0  3.50000000000000000E+010 -6.16540434309844980E+000
   35  35/ 0  3.60000000000000000E+010 -5.95639577703370550E+000
   36  36/ 0  3.70000000000000000E+010 -6.29562485594448610E+000
   37  37/ 0  3.80000000000000000E+010 -6.56836513628731830E+000
   38  38/ 0  3.90000000000000000E+010 -6.53106438520809630E+000
   39  39/ 0  4.00000000000000000E+010 -6.22884075156487250E+000
   40  40/ 0  4.10000000000000000E+010 -6.35544170647997570E+000
   41  41/ 0  4.20000000000000000E+010 -5.92794296171417570E+000
   42  42/ 0  4.30000000000000000E+010 -5.79835297327168760E+000
   43  43/ 0  4.40000000000000000E+010 -6.89287716291761220E+000
   44  44/ 0  4.50000000000000000E+010 -6.85359925690882220E+000
   45  45/ 0  4.60000000000000000E+010 -8.27535856544253430E+000
   46  46/ 0  4.70000000000000000E+010 -1.29757088625159900E+001
   47  47/ 0  4.80000000000000000E+010 -1.03774779945260690E+001
   48  48/ 0  4.90000000000000000E+010 -1.22782266355302420E+001
   49  49/ 0  5.00000000000000000E+010 -6.11015578767398890E+000
   50  50/ 0  5.10000000000000000E+010 -6.22610025328099150E+000
