Vgs [V],Ids (Vds = 0.05V) [A],Ids (Vds = 0.8V) [A],,,,,,,,,,,,,,,,,
0.00E+00,1.77E-07,1.52E-06,,,,,,,,,,,,,,,,,
2.50E-02,3.53E-07,2.95E-06,,,,,,,,,,,,,,,,,
5.00E-02,7.01E-07,5.64E-06,,,,,,,,,,,,,,,,,
7.50E-02,1.37E-06,1.06E-05,,,,,,,,,,,,,,,,,
1.00E-01,2.67E-06,1.96E-05,,,,,,,,,,,,,,,,,
1.25E-01,5.09E-06,3.53E-05,,,,,,,,,,,,,,,,,
1.50E-01,9.58E-06,6.22E-05,,,,,,,,,,,,,,,,,
1.75E-01,1.76E-05,1.07E-04,,,,,,,,,,,,,,,,,
2.00E-01,3.13E-05,1.77E-04,,,,,,,,,,,,,,,,,
2.25E-01,5.40E-05,2.83E-04,,,,,,,,,,,,,,,,,
2.50E-01,8.97E-05,4.37E-04,,,,,,,,,,,,,,,,,
2.75E-01,1.42E-04,6.49E-04,,,,,,,,,,,,,,,,,
3.00E-01,2.15E-04,9.28E-04,,,,,,,,,,,,,,,,,
3.25E-01,3.10E-04,1.28E-03,,,,,,,,,,,,,,,,,
3.50E-01,4.23E-04,1.70E-03,,,,,,,,,,,,,,,,,
3.75E-01,5.51E-04,2.20E-03,,,,,,,,,,,,,,,,,
4.00E-01,6.86E-04,2.75E-03,,,,,,,,,,,,,,,,,
4.25E-01,8.23E-04,3.35E-03,,,,,,,,,,,,,,,,,
4.50E-01,9.59E-04,3.99E-03,,,,,,,,,,,,,,,,,
4.75E-01,1.09E-03,4.67E-03,,,,,,,,,,,,,,,,,
5.00E-01,1.21E-03,5.37E-03,,,,,,,,,,,,,,,,,
5.25E-01,1.33E-03,6.09E-03,,,,,,,,,,,,,,,,,
5.50E-01,1.43E-03,6.82E-03,,,,,,,,,,,,,,,,,
5.75E-01,1.53E-03,7.56E-03,,,,,,,,,,,,,,,,,
6.00E-01,1.62E-03,8.29E-03,,,,,,,,,,,,,,,,,
6.25E-01,1.71E-03,9.03E-03,,,,,,,,,,,,,,,,,
6.50E-01,1.79E-03,9.76E-03,,,,,,,,,,,,,,,,,
6.75E-01,1.86E-03,1.05E-02,,,,,,,,,,,,,,,,,
7.00E-01,1.93E-03,1.12E-02,,,,,,,,,,,,,,,,,
7.25E-01,1.99E-03,1.19E-02,,,,,,,,,,,,,,,,,
7.50E-01,2.04E-03,1.26E-02,,,,,,,,,,,,,,,,,
7.75E-01,2.09E-03,1.33E-02,,,,,,,,,,,,,,,,,
8.00E-01,2.14E-03,1.40E-02,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
