Vgs [V],Ids (Vds = 0.05V) [A],Ids (Vds = 0.75V) [A]
0.00E+00,1.32E-08,3.18E-08
2.00E-02,2.49E-08,6.54E-08
4.00E-02,4.99E-08,1.29E-07
6.00E-02,1.01E-07,2.62E-07
8.00E-02,2.01E-07,5.25E-07
1.00E-01,4.03E-07,1.04E-06
1.20E-01,7.98E-07,2.04E-06
1.40E-01,1.57E-06,3.99E-06
1.60E-01,2.95E-06,7.64E-06
1.80E-01,5.84E-06,1.44E-05
2.00E-01,1.10E-05,2.66E-05
2.20E-01,1.97E-05,4.76E-05
2.40E-01,3.48E-05,8.32E-05
2.60E-01,5.81E-05,1.39E-04
2.80E-01,9.16E-05,2.20E-04
3.00E-01,1.39E-04,3.41E-04
3.20E-01,1.97E-04,4.99E-04
3.40E-01,2.66E-04,6.98E-04
3.60E-01,3.42E-04,9.37E-04
3.80E-01,4.20E-04,1.22E-03
4.00E-01,4.93E-04,1.52E-03
4.20E-01,5.73E-04,1.86E-03
4.40E-01,6.42E-04,2.22E-03
4.60E-01,7.08E-04,2.60E-03
4.80E-01,7.66E-04,2.98E-03
5.00E-01,8.18E-04,3.37E-03
5.20E-01,8.61E-04,3.76E-03
5.40E-01,9.09E-04,4.16E-03
5.60E-01,9.45E-04,4.56E-03
5.80E-01,9.67E-04,4.95E-03
6.00E-01,1.01E-03,5.34E-03
6.20E-01,1.04E-03,5.73E-03
6.40E-01,1.06E-03,6.10E-03
6.60E-01,1.09E-03,6.48E-03
6.80E-01,1.11E-03,6.86E-03
7.00E-01,1.13E-03,7.21E-03
7.20E-01,1.14E-03,7.57E-03
7.50E-01,1.15E-03,7.92E-03
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
