Vgs [V],Ids (Vds = -0.05V) [A],Ids (Vds = -0.8V) [A],,,,,,,,,,,,,,
0.00E+00,-5.87E-08,-5.83E-07,,,,,,,,,,,,,,
-2.50E-02,-1.17E-07,-1.05E-06,,,,,,,,,,,,,,
-5.00E-02,-2.29E-07,-1.92E-06,,,,,,,,,,,,,,
-7.50E-02,-4.52E-07,-3.51E-06,,,,,,,,,,,,,,
-1.00E-01,-8.80E-07,-6.46E-06,,,,,,,,,,,,,,
-1.25E-01,-1.69E-06,-1.18E-05,,,,,,,,,,,,,,
-1.50E-01,-3.23E-06,-2.12E-05,,,,,,,,,,,,,,
-1.75E-01,-6.12E-06,-3.73E-05,,,,,,,,,,,,,,
-2.00E-01,-1.13E-05,-6.52E-05,,,,,,,,,,,,,,
-2.25E-01,-2.04E-05,-1.11E-04,,,,,,,,,,,,,,
-2.50E-01,-3.62E-05,-1.81E-04,,,,,,,,,,,,,,
-2.75E-01,-6.15E-05,-2.87E-04,,,,,,,,,,,,,,
-3.00E-01,-1.01E-04,-4.36E-04,,,,,,,,,,,,,,
-3.25E-01,-1.57E-04,-6.38E-04,,,,,,,,,,,,,,
-3.50E-01,-2.33E-04,-8.97E-04,,,,,,,,,,,,,,
-3.75E-01,-3.27E-04,-1.21E-03,,,,,,,,,,,,,,
-4.00E-01,-4.40E-04,-1.58E-03,,,,,,,,,,,,,,
-4.25E-01,-5.62E-04,-2.00E-03,,,,,,,,,,,,,,
-4.50E-01,-6.97E-04,-2.46E-03,,,,,,,,,,,,,,
-4.75E-01,-8.32E-04,-2.96E-03,,,,,,,,,,,,,,
-5.00E-01,-9.70E-04,-3.49E-03,,,,,,,,,,,,,,
-5.25E-01,-1.10E-03,-4.04E-03,,,,,,,,,,,,,,
-5.50E-01,-1.23E-03,-4.61E-03,,,,,,,,,,,,,,
-5.75E-01,-1.36E-03,-5.21E-03,,,,,,,,,,,,,,
-6.00E-01,-1.48E-03,-5.80E-03,,,,,,,,,,,,,,
-6.25E-01,-1.59E-03,-6.40E-03,,,,,,,,,,,,,,
-6.50E-01,-1.69E-03,-7.01E-03,,,,,,,,,,,,,,
-6.75E-01,-1.79E-03,-7.62E-03,,,,,,,,,,,,,,
-7.00E-01,-1.89E-03,-8.24E-03,,,,,,,,,,,,,,
-7.25E-01,-1.97E-03,-8.85E-03,,,,,,,,,,,,,,
-7.50E-01,-2.05E-03,-9.47E-03,,,,,,,,,,,,,,
-7.75E-01,-2.13E-03,-1.01E-02,,,,,,,,,,,,,,
-8.00E-01,-2.21E-03,-1.07E-02,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
